Chemical Name	Chemical ID	CAS RN	Gene Symbol	Gene ID	Interaction	Interaction Actions	Reference Count	Organism Count
bisphenol A	C006780	80-05-7	AAMP	14	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in increased expression of AAMP mRNA	affects^cotreatment|increases^expression	1	1
bisphenol A	C006780	80-05-7	AAR2	25980	[bisphenol A co-treated with Fulvestrant] results in increased methylation of AAR2 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	AARD	441376	bisphenol A results in decreased expression of AARD mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	AARS	234734	bisphenol A affects the expression of AARS mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	AARS1	16	bisphenol A results in decreased expression of AARS1 protein	decreases^expression	1	1
bisphenol A	C006780	80-05-7	AARS1	16	bisphenol A results in increased expression of AARS1 mRNA	increases^expression	2	1
bisphenol A	C006780	80-05-7	AATF	26574	bisphenol A affects the expression of AATF mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	AATK	9625	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of AATK gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	AATK	9625	bisphenol A results in decreased methylation of AATK gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABAT	18	bisphenol A affects the expression of ABAT mRNA	affects^expression	2	1
bisphenol A	C006780	80-05-7	ABAT	18	bisphenol A results in decreased expression of ABAT protein	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ABCA1	19	bisphenol A results in decreased expression of ABCA1 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ABCA10	10349	bisphenol A results in increased expression of ABCA10 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ABCA11P	79963	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of ABCA11P mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	ABCA12	26154	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of ABCA12 gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABCA12	26154	bisphenol A results in decreased expression of ABCA12 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ABCA12	26154	bisphenol A results in decreased methylation of ABCA12 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABCA12	26154	bisphenol A results in increased methylation of ABCA12 gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	ABCA3	21	bisphenol A results in increased methylation of ABCA3 gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	ABCA4	24	bisphenol A results in decreased methylation of ABCA4 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABCA5	23461	bisphenol A results in decreased expression of ABCA5 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ABCA7	10347	bisphenol A affects the expression of ABCA7 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	ABCA9	10350	bisphenol A results in increased methylation of ABCA9 gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	ABCB1	5243	ABCB1 promoter SNP affects the reaction [bisphenol A results in increased expression of ABCB1 mRNA]	affects^reaction|increases^expression	1	1
bisphenol A	C006780	80-05-7	ABCB1	5243	bisphenol A affects the expression of ABCB1 mRNA	affects^expression	2	1
bisphenol A	C006780	80-05-7	ABCB1	5243	bisphenol A results in increased expression of ABCB1 mRNA	increases^expression	3	1
bisphenol A	C006780	80-05-7	ABCB1	5243	bisphenol A results in increased methylation of ABCB1 gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	ABCB11	8647	[bisphenol A co-treated with Fulvestrant] results in increased methylation of ABCB11 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	ABCB1A	18671	[bisphenol A results in increased activity of NR1I2 protein] which results in increased expression of ABCB1A mRNA	increases^activity|increases^expression	1	1
bisphenol A	C006780	80-05-7	ABCB1A	18671	[NR1I2 gene results in increased susceptibility to bisphenol A] which results in increased expression of ABCB1A mRNA	increases^expression|increases^response to substance	1	1
bisphenol A	C006780	80-05-7	ABCB5	340273	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of ABCB5 gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABCB5	340273	bisphenol A results in increased methylation of ABCB5 gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	ABCB6	10058	bisphenol A results in increased expression of ABCB6 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ABCC1	4363	bisphenol A results in increased expression of ABCC1 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ABCC11	85320	[bisphenol A co-treated with Fulvestrant] results in increased methylation of ABCC11 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	ABCC13	150000	bisphenol A results in increased expression of ABCC13 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ABCC2	1244	bisphenol A affects the expression of ABCC2 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	ABCC2	1244	bisphenol A affects the methylation of ABCC2 gene	affects^methylation	1	1
bisphenol A	C006780	80-05-7	ABCC2	1244	[bisphenol A co-treated with Fulvestrant] results in increased methylation of ABCC2 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	ABCC2	1244	bisphenol A results in increased expression of ABCC2 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ABCC2	1244	bisphenol A results in increased expression of ABCC2 protein	increases^expression	1	1
bisphenol A	C006780	80-05-7	ABCC3	8714	bisphenol A affects the expression of ABCC3 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	ABCC3	8714	bisphenol A results in increased expression of ABCC3 mRNA	increases^expression	2	1
bisphenol A	C006780	80-05-7	ABCC3	8714	bisphenol A results in increased expression of ABCC3 protein	increases^expression	1	1
bisphenol A	C006780	80-05-7	ABCC3	8714	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of ABCC3 mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	ABCC4	10257	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of ABCC4 gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABCC4	10257	bisphenol A results in decreased methylation of ABCC4 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABCC4	10257	bisphenol A results in increased expression of ABCC4 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ABCC5	10057	bisphenol A analog results in increased expression of ABCC5 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ABCC5	10057	bisphenol A results in increased expression of ABCC5 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ABCC6	368	bisphenol A affects the expression of ABCC6 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	ABCC6P2	730013	bisphenol A affects the expression of ABCC6P2 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	ABCD2	225	bisphenol A results in decreased methylation of ABCD2 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABCE1	6059	bisphenol A results in decreased expression of ABCE1 protein	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ABCF1	23	bisphenol A results in decreased methylation of ABCF1 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABCF2	10061	bisphenol A affects the expression of ABCF2 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	ABCF3	55324	bisphenol A affects the splicing of ABCF3 mRNA	affects^splicing	1	1
bisphenol A	C006780	80-05-7	ABCG1	9619	bisphenol A results in decreased methylation of ABCG1 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABCG2	9429	ABCG2 protein results in increased transport of bisphenol A	increases^transport	1	1
bisphenol A	C006780	80-05-7	ABCG2	9429	bisphenol A results in decreased activity of ABCG2 protein	decreases^activity	1	1
bisphenol A	C006780	80-05-7	ABCG2	9429	bisphenol A results in decreased expression of ABCG2 mRNA	decreases^expression	2	1
bisphenol A	C006780	80-05-7	ABCG2	9429	bisphenol A results in decreased expression of ABCG2 protein	decreases^expression	2	1
bisphenol A	C006780	80-05-7	ABCG2	9429	Fulvestrant affects the reaction [bisphenol A results in decreased expression of ABCG2 protein]	affects^reaction|decreases^expression	1	1
bisphenol A	C006780	80-05-7	ABCG2	9429	Fulvestrant inhibits the reaction [bisphenol A results in decreased expression of ABCG2 mRNA]	decreases^expression|decreases^reaction	1	1
bisphenol A	C006780	80-05-7	ABCG2	9429	Fulvestrant inhibits the reaction [bisphenol A results in decreased expression of ABCG2 protein]	decreases^expression|decreases^reaction	1	1
bisphenol A	C006780	80-05-7	ABHD1	84696	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of ABHD1 gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABHD1	84696	bisphenol A results in decreased methylation of ABHD1 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABHD11	83451	bisphenol A results in increased expression of ABHD11 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ABHD11	83451	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of ABHD11 mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	ABHD15	116236	[bisphenol A co-treated with Fulvestrant] results in increased methylation of ABHD15 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	ABHD15	116236	bisphenol A results in decreased methylation of ABHD15 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABHD16A	7920	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of ABHD16A gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABHD16A	7920	bisphenol A results in decreased methylation of ABHD16A gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABHD17A	81926	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of ABHD17A gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABHD17A	81926	bisphenol A results in decreased methylation of ABHD17A gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABHD2	11057	bisphenol A results in decreased expression of ABHD2 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ABHD2	11057	bisphenol A results in increased expression of ABHD2 mRNA	increases^expression	2	1
bisphenol A	C006780	80-05-7	ABHD3	171586	bisphenol A results in decreased expression of ABHD3 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ABHD4	63874	bisphenol A affects the expression of ABHD4 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	ABHD4	63874	bisphenol A results in increased expression of ABHD4 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ABHD5	51099	bisphenol A results in increased methylation of ABHD5 gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	ABHD5	51099	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in increased expression of ABHD5 mRNA	affects^cotreatment|increases^expression	1	1
bisphenol A	C006780	80-05-7	ABHD6	57406	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of ABHD6 gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABHD6	57406	bisphenol A results in increased expression of ABHD6 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ABHD8	79575	bisphenol A results in decreased methylation of ABHD8 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABI1	10006	bisphenol A affects the methylation of ABI1 gene	affects^methylation	1	1
bisphenol A	C006780	80-05-7	ABI2	10152	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of ABI2 mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	ABI3BP	25890	[bisphenol A co-treated with Fulvestrant] results in increased methylation of ABI3BP gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	ABI3BP	25890	bisphenol A results in increased expression of ABI3BP mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ABL1	25	[bisphenol A co-treated with Fulvestrant] affects the methylation of ABL1 gene	affects^cotreatment|affects^methylation	1	1
bisphenol A	C006780	80-05-7	ABL1	25	bisphenol A results in decreased methylation of ABL1 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABLIM1	3983	bisphenol A analog results in increased expression of ABLIM1 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ABLIM1	3983	bisphenol A results in increased expression of ABLIM1 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ABLIM2	84448	bisphenol A results in decreased methylation of ABLIM2 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABLIM2	84448	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of ABLIM2 mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	ABLIM3	22885	bisphenol A affects the expression of ABLIM3 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	ABLIM3	22885	[bisphenol A co-treated with Fulvestrant] results in increased methylation of ABLIM3 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	ABR	29	[bisphenol A co-treated with Fulvestrant] results in increased methylation of ABR gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	ABR	29	bisphenol A results in decreased methylation of ABR gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABR	29	bisphenol A results in increased expression of ABR mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ABRACL	58527	bisphenol A results in decreased methylation of ABRACL gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ABRACL	58527	bisphenol A results in increased expression of ABRACL mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ABRACL	58527	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of ABRACL mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	ABRAXAS1	84142	bisphenol A results in increased expression of ABRAXAS1 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ABRAXAS1	84142	bisphenol A results in increased methylation of ABRAXAS1 gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	ABRAXAS2	23172	bisphenol A results in decreased expression of ABRAXAS2 protein	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ABT1	29777	bisphenol A affects the methylation of ABT1 gene	affects^methylation	1	1
bisphenol A	C006780	80-05-7	ABT1	29777	[bisphenol A co-treated with Fulvestrant] results in increased methylation of ABT1 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	ABTB1	80325	bisphenol A results in increased expression of ABTB1 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ACAA1	30	bisphenol A affects the expression of ACAA1 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	ACAA2	10449	bisphenol A affects the expression of ACAA2 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	ACAA2	10449	bisphenol A results in decreased methylation of ACAA2 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ACACA	31	bisphenol A analog results in increased expression of ACACA mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ACACA	31	bisphenol A results in increased expression of ACACA mRNA	increases^expression	5	1
bisphenol A	C006780	80-05-7	ACACA	31	N-piperidinyl-(8-chloro-1-(2,4-dichlorophenyl)-1,4,5,6-tetrahydrobenzo(6,7)cyclohepta(1,2-c)pyrazole-3-carboxamide) inhibits the reaction [bisphenol A results in increased expression of ACACA mRNA]	decreases^reaction|increases^expression	1	1
bisphenol A	C006780	80-05-7	ACAD11	84129	bisphenol A results in decreased methylation of ACAD11 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ACAD8	27034	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of ACAD8 gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ACAD8	27034	bisphenol A results in decreased methylation of ACAD8 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ACAD9	28976	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of ACAD9 mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	ACADL	33	bisphenol A analog results in decreased expression of ACADL mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ACADL	33	bisphenol A results in decreased expression of ACADL mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ACADM	34	bisphenol A analog results in decreased expression of ACADM mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ACADM	34	bisphenol A results in decreased expression of ACADM mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ACADS	35	bisphenol A analog results in decreased expression of ACADS mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ACADS	35	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of ACADS gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ACADS	35	bisphenol A results in decreased expression of ACADS mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ACADSB	36	bisphenol A affects the expression of ACADSB mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	ACADSB	36	bisphenol A results in increased methylation of ACADSB gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	ACADVL	37	bisphenol A affects the expression of ACADVL mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	ACADVL	37	[bisphenol A co-treated with Fulvestrant] results in increased methylation of ACADVL gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	ACAN	176	bisphenol A results in decreased methylation of ACAN gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ACAN	176	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of ACAN mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	ACAP1	9744	bisphenol A results in increased methylation of ACAP1 gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	ACAP2	23527	bisphenol A results in decreased expression of ACAP2 protein	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ACAP2	23527	bisphenol A results in increased expression of ACAP2 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ACAP3	116983	bisphenol A results in increased methylation of ACAP3 gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	ACAT2	39	bisphenol A affects the expression of ACAT2 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	ACAT2	39	[bisphenol A co-treated with Fulvestrant] results in increased methylation of ACAT2 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	ACBD6	84320	bisphenol A results in increased expression of ACBD6 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ACBD7	414149	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in increased expression of ACBD7 mRNA	affects^cotreatment|increases^expression	1	1
bisphenol A	C006780	80-05-7	ACD	65057	bisphenol A results in decreased expression of ACD mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ACE	1636	bisphenol A results in increased expression of ACE mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ACER2	340485	bisphenol A affects the expression of ACER2 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	ACER2	340485	bisphenol A results in decreased methylation of ACER2 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ACER3	55331	bisphenol A results in decreased methylation of ACER3 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ACHE	43	bisphenol A results in increased activity of ACHE protein	increases^activity	1	1
bisphenol A	C006780	80-05-7	ACHE	43	bisphenol A results in increased expression of ACHE mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ACHE	43	bisphenol A results in increased expression of ACHE protein	increases^expression	1	1
bisphenol A	C006780	80-05-7	ACHE	43	bisphenol A results in increased methylation of ACHE gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	ACIN1	22985	[bisphenol A co-treated with Fulvestrant] results in increased methylation of ACIN1 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	ACIN1	22985	bisphenol A results in decreased expression of ACIN1 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ACIN1	22985	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of ACIN1 mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	ACKR2	1238	bisphenol A results in decreased expression of ACKR2 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ACKR2	1238	bisphenol A results in decreased methylation of ACKR2 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ACKR3	57007	bisphenol A analog results in decreased expression of ACKR3 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ACKR3	57007	bisphenol A results in decreased expression of ACKR3 protein	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ACLY	47	bisphenol A affects the expression of ACLY mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	ACO1	48	bisphenol A results in decreased methylation of ACO1 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ACO2	50	bisphenol A results in decreased expression of ACO2 protein	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ACO2	50	bisphenol A results in decreased methylation of ACO2 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ACOT1	641371	[bisphenol A co-treated with Fulvestrant] results in increased methylation of ACOT1 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	ACOT11	26027	[bisphenol A co-treated with Fulvestrant] results in increased methylation of ACOT11 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	ACOT11	26027	bisphenol A results in decreased methylation of ACOT11 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ACOT6	641372	bisphenol A results in decreased expression of ACOT6 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ACOT6	641372	bisphenol A results in decreased methylation of ACOT6 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ACOT7	11332	[bisphenol A co-treated with Fulvestrant] results in increased methylation of ACOT7 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	ACOT7	11332	bisphenol A results in decreased methylation of ACOT7 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ACOT7	11332	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of ACOT7 mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	ACOT9	23597	bisphenol A results in decreased expression of ACOT9 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ACP1	52	bisphenol A results in decreased expression of ACP1 protein	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ACP1	52	bisphenol A results in increased methylation of ACP1 gene	increases^methylation	1	1
bisphenol A	C006780	80-05-7	ACP2	53	bisphenol A affects the expression of ACP2 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	ACP4	93650	[bisphenol A co-treated with Fulvestrant] results in decreased methylation of ACP4 gene	affects^cotreatment|decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ACP4	93650	bisphenol A results in decreased methylation of ACP4 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ACP4	93650	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in decreased expression of ACP4 mRNA	affects^cotreatment|decreases^expression	1	1
bisphenol A	C006780	80-05-7	ACRBP	84519	[bisphenol A co-treated with Fulvestrant] results in increased methylation of ACRBP gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	ACSF2	80221	bisphenol A affects the expression of ACSF2 mRNA	affects^expression	1	1
bisphenol A	C006780	80-05-7	ACSF2	80221	[bisphenol A co-treated with Fulvestrant] results in increased methylation of ACSF2 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	ACSF2	80221	bisphenol A results in increased expression of ACSF2 mRNA	increases^expression	1	1
bisphenol A	C006780	80-05-7	ACSF3	197322	bisphenol A results in decreased methylation of ACSF3 gene	decreases^methylation	1	1
bisphenol A	C006780	80-05-7	ACSL1	2180	bisphenol A analog results in decreased expression of ACSL1 mRNA	decreases^expression	1	1
bisphenol A	C006780	80-05-7	ACSL1	2180	[bisphenol A co-treated with Fulvestrant] results in increased methylation of ACSL1 gene	affects^cotreatment|increases^methylation	1	1
bisphenol A	C006780	80-05-7	ACSL1	2180	bisphenol A results in increased methylation of ACSL1 gene	increases^methylation	1	1
